,Tutuban,Blumentritt,Laon Laan,España,Sta. Mesa,Pandacan,Paco,San Andres,Vito Cruz,Buendia,Pasay Road,EDSA,Nichols,FTI,Bicutan,Sucat,Alabang,Muntinlupa,San Pedro,Pacita Main Gate,Golden City 1,Biñan,Sta. Rosa,Cabuyao,Mamatid,Calamba
Tutuban,0,16,16,16,16,16,16,16,16,16,16,16,21,21,21,27,32,37,43,43,43,48,48,53,59,64
Blumentritt,16,0,16,16,16,16,16,16,16,16,16,16,16,16,21,27,32,32,37,37,43,43,48,53,59,59
Laon Laan,16,16,0,16,16,16,16,16,16,16,16,16,16,16,21,27,27,32,37,37,37,43,48,48,59,59
España,16,16,16,0,16,16,16,16,16,16,16,16,16,16,21,21,27,32,37,37,37,43,43,48,53,59
Sta. Mesa,16,16,16,16,0,16,16,16,16,16,16,16,16,16,16,21,27,27,32,37,37,37,43,48,53,59
Pandacan,16,16,16,16,16,0,16,16,16,16,16,16,16,16,16,21,21,27,32,32,37,37,43,43,53,53
Paco,16,16,16,16,16,16,0,16,16,16,16,16,16,16,16,16,21,27,32,32,32,32,37,43,48,53
San Andres,16,16,16,16,16,16,16,0,16,16,16,16,16,16,16,16,21,27,27,32,32,32,37,43,48,53
Vito Cruz,16,16,16,16,16,16,16,16,0,16,16,16,16,16,16,16,21,21,27,32,32,32,37,43,48,53
Buendia,16,16,16,16,16,16,16,16,16,0,16,16,16,16,16,16,21,21,27,27,32,32,37,43,48,48
Pasay Road,16,16,16,16,16,16,16,16,16,16,0,16,16,16,16,16,16,21,27,27,27,32,37,37,48,48
EDSA,16,16,16,16,16,16,16,16,16,16,16,0,16,16,16,16,16,21,27,27,27,27,32,37,43,48
Nichols,21,16,16,16,16,16,16,16,16,16,16,16,0,16,16,16,16,16,21,21,21,27,32,32,43,43
FTI,21,16,16,16,16,16,16,16,16,16,16,16,16,0,16,16,16,16,21,21,21,27,27,32,37,43
Bicutan,21,21,21,21,16,16,16,16,16,16,16,16,16,16,0,16,16,16,16,21,21,21,27,32,37,43
Sucat,27,27,27,21,21,21,16,16,16,16,16,16,16,16,16,0,16,16,16,16,16,16,21,27,32,37
Alabang,32,32,27,27,27,21,21,21,21,21,16,16,16,16,16,16,0,16,16,16,16,16,16,21,27,32
Muntinlupa,37,32,32,32,27,27,27,27,21,21,21,21,16,16,16,16,16,0,16,16,16,16,16,16,21,27
San Pedro,43,37,37,37,32,32,32,27,27,27,27,27,21,21,16,16,16,16,0,16,16,16,16,16,21,21
Pacita Main Gate,43,37,37,37,37,32,32,32,32,27,27,27,21,21,21,16,16,16,16,0,16,16,16,16,16,21
Golden City 1,43,43,37,37,37,37,32,32,32,32,27,27,21,21,21,16,16,16,16,16,0,16,16,16,16,21
Biñan,48,43,43,43,37,37,32,32,32,32,32,27,27,27,21,16,16,16,16,16,16,0,16,16,16,21
Sta. Rosa,48,48,48,43,43,43,37,37,37,37,37,32,32,27,27,21,16,16,16,16,16,16,0,16,16,16
Cabuyao,53,53,48,48,48,43,43,43,43,43,37,37,32,32,32,27,21,16,16,16,16,16,16,0,16,16
Mamatid,59,59,59,53,53,53,48,48,48,48,48,43,43,37,37,32,27,21,21,16,16,16,16,16,0,16
Calamba,64,59,59,59,59,53,53,53,53,48,48,48,43,43,43,37,32,27,21,21,21,21,16,16,16,0