distance,regular,discounted
1,8.54,6.94
2,8.54,6.94
3,8.54,6.94
4,8.54,6.94
5,10.15,8.01
6,11.75,9.35
7,13.35,10.68
8,14.95,12.02
9,16.55,13.35
10,18.16,14.42
11,19.76,15.75
12,21.36,17.09
13,22.96,18.42
14,24.56,19.76
15,26.17,20.83
16,27.77,22.16
17,29.37,23.50
18,30.97,24.83
19,32.57,26.17
20,34.18,27.23
21,35.78,28.57
22,37.38,29.90
23,38.98,31.24
24,40.58,32.57
25,42.19,33.64
26,43.79,34.98
27,45.39,36.31
28,46.99,37.65
29,48.59,38.98
30,50.20,40.05
31,51.80,41.39
32,53.40,42.72
33,55.00,44.05
34,56.60,45.39
35,58.21,46.46
36,59.81,47.79
37,61.41,49.13
38,63.01,50.46
39,64.61,51.80
40,66.22,52.87
41,67.82,54.20
42,69.42,55.54
43,71.02,56.87
44,72.62,58.21
45,74.23,59.27
46,75.83,60.61
47,77.43,61.94
48,79.03,63.28
49,80.63,64.61
50,82.24,65.68